id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
882759479445807232,Habitación Silenciosa Con Ascensor•,508260600,Sandra Belmira,Carabanchel,Abrantes,40.375859430003594,-3.732557086366952,Private room,43,1,90,2024-12-08,4.60,1,79,64,
882988729540413203,Centrally located flat in Madrid,512005161,Siete Monos,Centro,Universidad,40.42240188777911,-3.7017690064205904,Entire home/apt,117,3,71,2024-11-30,3.70,1,247,40,
883039982136316658,Madera I - Darya Living,512914167,Pablo,Centro,Universidad,40.42489,-3.70449,Entire home/apt,,30,0,,,13,6,0,
883047838045468192,Bonito Apartamento cerca Santiago Bernabeu MJU14B,460749776,Fernando,Tetuán,Berruguete,40.45994,-3.70065,Entire home/apt,,1,0,,,11,0,0,
883057209779964850,"Apartamento de diseño, cómodo y cerca del centro.",145788215,Miguel Ángel,Tetuán,Bellas Vistas,40.450616942784166,-3.7050525116394084,Entire home/apt,79,2,111,2024-12-08,5.72,1,79,75,
883060840622001432,Habitación cómoda ! Zona centro,185244572,Nicolas,Retiro,Pacífico,40.40254877076549,-3.6760816537735557,Private room,25,2,33,2024-05-17,1.69,4,120,9,
883071614331203576,Apartamento muy bien comunicado IFEMA - Aeropuerto,85835562,MA Alejandro,Hortaleza,Pinar del Rey,40.473608675344366,-3.653262605800575,Entire home/apt,150,3,42,2024-12-08,2.26,1,203,21,
883079258162309726,Habitación Doble Privada y Baño,512920983,Luis Miguel,Latina,Lucero,40.40466809999999,-3.7440049,Private room,51,6,0,,,1,89,0,
883104055213029127,超大空间高档小区带独立卫生间的卧室,512584596,Wenjun,Usera,San Fermín,40.36593745877262,-3.6869648471474648,Private room,62,2,10,2024-11-04,0.51,3,90,7,
883108049986606759,Lustar - 2 bedrooms apartment with terrace in Chueca,346367515,Ukio,Centro,Justicia,40.42176,-3.70034,Entire home/apt,,31,0,,,332,222,0,
883134716173377828,"Blueground | Sol, nr Plaza Mayor",434208714,Blueground,Centro,Sol,40.4159335,-3.7083857,Entire home/apt,135,30,1,2023-07-03,0.06,241,121,0,
883146055664492857,"Encantador y único estudio en Tetuan ""el Centro""",460749776,Fernando,Tetuán,Berruguete,40.46026680134019,-3.7051358016356564,Entire home/apt,65,1,1,2023-05-19,0.05,11,288,0,
883146373994251752,Encantador y único estudio en Tetuan Madrid,460749776,Fernando,Tetuán,Berruguete,40.46030783507385,-3.704608593428701,Entire home/apt,,1,0,,,11,0,0,
883146614645766394,"Encantador y único estudio en Tetuan ""El Retiro""",460749776,Fernando,Tetuán,Berruguete,40.46041745976894,-3.7044276394668207,Entire home/apt,64,1,0,,,11,315,0,
883146805625955881,"Encantador estudio Tetuan ""la Latina"" MLU2°2",460749776,Fernando,Tetuán,Berruguete,40.46040844710938,-3.7050005255564153,Entire home/apt,,1,1,2023-12-31,0.09,11,255,1,
883188356495078168,Estudio muy luminoso a un paso del Bernabéu,367231040,Renata,Tetuán,Cuatro Caminos,40.44939385900682,-3.6960225050922264,Entire home/apt,149,1,83,2024-12-11,4.39,1,163,48,
883218498059369152,Broto - 4 bedrooms apartment in Malasaña,346367515,Ukio,Chamberí,Trafalgar,40.4298999561439,-3.7028944187566086,Entire home/apt,191,31,0,,,332,188,0,
883257777915256113,Gran Vía Luxe-Special Services,22321820,Vanrays,Centro,Universidad,40.42103286273962,-3.702228228811978,Entire home/apt,400,30,37,2024-12-01,1.99,40,353,28,EXENTO - Alquiler de Temporada según la LAU
883273348726414367,Elegante apartamento cerca Politécnica de Madrid,460749776,Fernando,Chamberí,Vallehermoso,40.4390441188773,-3.7066907201641586,Entire home/apt,167,1,3,2024-05-12,0.35,11,327,3,
883342497217313056,Es un magnífico apartamento.,68348267,Ana Julia,Fuencarral - El Pardo,Valverde,40.4981909,-3.675523,Private room,58,1,0,,,1,365,0,
883615393973409130,"Habitación doble confortable, céntrica en Chamberí",142868023,Maria C,Chamberí,Trafalgar,40.43338,-3.70119,Private room,77,2,37,2024-12-08,1.89,2,4,24,
883734165209804745,"Blueground | Nueva España, doorman, in Chamartín",434208714,Blueground,Chamartín,Nueva España,40.46340229999999,-3.669304999999999,Entire home/apt,97,30,4,2024-10-15,0.25,241,57,2,
883763892713674969,Madera II- Darya Living,512914167,Pablo,Centro,Universidad,40.424122520687085,-3.703117048382083,Entire home/apt,,30,1,2024-08-31,0.29,13,0,1,
883788423744857192,Madera IV-Darya Living,512914167,Pablo,Centro,Universidad,40.42438,-3.70503,Entire home/apt,,30,0,,,13,1,0,
883795948718728388,Madera V-Darya Living,512914167,Pablo,Centro,Universidad,40.42295292589584,-3.704484086405819,Entire home/apt,,30,0,,,13,2,0,
883802513515855443,Madera VI-Darya Living,512914167,Pablo,Centro,Universidad,40.42300082805899,-3.704744290122751,Entire home/apt,,30,1,2023-08-01,0.06,13,1,0,
883802584263234838,The Queen's House II by BNBHolder,513086378,Emilio,Centro,Justicia,40.422178477332814,-3.6992504698584883,Private room,131,1,77,2024-11-20,4.25,6,336,60,
883805039029764138,Madera VII-Darya Living,512914167,Pablo,Centro,Universidad,40.42286,-3.70381,Entire home/apt,,30,1,2024-08-31,0.29,13,0,1,
887679074200493161,Hermoso para disfrutar Madrid,425181129,Felix,Puente de Vallecas,Palomeras Sureste,40.38548249999999,-3.6408404,Entire home/apt,184,1,1,2023-05-14,0.05,1,365,0,
